text;sentiment;hate_speech
Эй придурки! Вы уже забросили свой тупой научный проект?;-1;3
Эй, я тебе задницу надеру!;-1;2
Слышь, почему бы тебе не перестать одевать меня почтальоном и заставлять танцевать на столе для тебя;-1;1
ты куришь крэк в нашей спальне и трахаешься на кровати моего отца с каким-то парнем, которого я даже не знаю;-1;2
Я хотел сказать что ты слабак.;-1;2
разобьешь мое лицо в кровавое месиво;-1;2
Все равно они все тупые.;-1;2
Или с большим жирным слоном.;-1;3
Стэнли, что за хрень вселилась в тебя?;-1;1
Все в городе растроены тобой,;-1;2
Тащи свою сучью задницу обратно на кухню;-1;3
Я не глупый, убей меня.;-1;2
Возьми это, тупой ты хер.;-1;3
Ты мудила, Филлип.;-1;3
Это недоразвитый тулетный юмор.;-1;2
Это чушь собачья.;0;2
Мама кайла ебаная еврейка.;-1;3
Шлюхин сын ты!;-1;3
Из-за твоей тупой матери;-1;3
Дети, такие шоу бесмыссленый мерзкий мусор.;-1;2
Тогда позволь я скажу тебе кое что, жирдяй...;-1;2
твоя мамаша была тут недавно, и я отымел её как маленькую сучку.;-1;3
Я выкопал скелет твоей пробабушки и трахнул его.;-1;3
Отборный кусок задницы.;-1;2
Я говорил тебе как я отодрал очко твоего папаши, толстяк?;-1;3
Я не верю тебе, сукин ты сын!;-1;3
Да, только потому что твоя мама тупая сука, не значит что мы должны страдать.;-1;3
Картман, не называй мою маму сукой!;-1;3
Твоя мама сука.;-1;3
Ты такой засранец, Терренс.;-1;2
Боже, что за хренью вы занимаетесь?;-1;2
Ты тупица!;-1;2
Да, обязательно, ты маленький хер!;-1;3
Иди нахуй.;-1;3
Режь уже гребаную веревку!;-1;1
ты ленивая задница, шлюхин сын!;-1;3
ты напыщенный сын женоподобной!;-1;2
Я здесь, шлюхин сын!;-1;3
Ну, это воняет грязным пердежом.;-1;2
Ты сволочь.;-1;3
Ты сукин сын, твоя мать отстой!;-1;3
Ты тупая шлюха, которая начала это.;-1;3
Сам такой, жополиз.;-1;2
НИГЕРЫ!;-1;3
Слушай Токен, мой папа не рассист, он просто тупой;-1;2
Если ты действительно думаешь что это не страшно, то ты действительно тупой и всё!;-1;2
Смотрите все это нигга!;-1;3
Заткни свой ёбаный рот!;-1;3
эй смотрите вот идёт этот нигга;-1;3
Доброе утро жирдяй!;-1;2
Тебе нравится смеятся над меньшинствами, нигга;-1;3
И сфотал его пипиську,;-1;1
Чувак, как то, что ты засунул его член себе в рот, подстегнёт его?;0;0
Блять, мне нужно выебать Баттерса!;-1;3
Где она, ты, проклятый еврей?!;-1;2
Отвали от меня!;-1;1
У меня нет твоей дебильной фотки!;-1;2
Я сломаю твою ебаную жидовскую ногу!;-1;3
Закрой хавальник!;-1;2
Стен, ты -  жид!;-1;2
Кенни и ты - жид;-1;2
Вы все жиды!!!;-1;3
Ты сосал чей-то хер?;-1;2
Засунул пенис мне в рот,;0;2
Вы оба понимаете, что мы пытаемся спасти ваши души от вечного гниения в аду?;0;0
Эрик, это что за хератень?!;-1;2
Это типа хер у меня во рту, вот тут;0;2
заткнут твою жопу железной затычкой, а к яйцам подведут электрошок.;-1;2
Да будь ты проклят, вице-президент Крейг.;-1;2
Ок, теперь ты не просто вшивый, ты - лжец!;-1;1
Да ты убийца, мерзавец.;-1;3
Да уж, мы его выебем.;-1;3
Кенни ща получит.;-1;0
Будь ты проклят, за что?;-1;2
мне никак не нужен урод вопящий;-1;3
Ты идеалистичный дурак.;-1;1
Щас ты сдохнешь...;-1;2
У каждого засранца в классе.;-1;2
все мусульмане являются террористами.;0;2
Это мои яйца!;0;0
Отстань от меня!;-1;1
Вот дерьмо.;-1;0
Ага, а теперь убирайся отсюда.;-1;2
Оу, поимели тебя, Бебе, сучка японская.;-1;3
Ладно, граф пидрила, давай.;-1;2
Нас спутали с этими сраными вампирами.;-1;3
Это наше место, говнюки.;-1;3
Что за хрень происходит?;-1;2
Теперь все считают, что мы - сраные вампиры;-1;2
Пиздец!;-1;3
Ага, вон там, рядом с толстой девочкой, большеносым, карликом и чуваком с чёлкой на лице.;-1;3
Давайте переоденем эти тупые шмотки.;0;1
Она была такой противной;-1;2
грёбаные вампиры победили нас.;-1;3
Это паршивый сендвич.;-1;1
девчонки такие педики.;-1;3
Иди нах, Кайл;-1;3
Боже, заткнись;-1;2
Я не дам тебе списывать свою домашку, ты ленивая какашка;-1;3
Я заслуживаю этот ебучий член!!!;-1;3
Мои невъебенные преподские навыки принесут мне 300 баксов!;1;2
Ни фига ты не невъебенный препод.;-1;2
мы спиздили ответы из стола мистера Гаррисона;1;0
Но чьей идеей было спиздить ответы?;0;1
Да они тебя нахуй завалят!;-1;3
Че за хрень?!;-1;3
мы не поступим ни в какой колледж, иди нахуй!;-1;3
Хуйня какая-то!;-1;3
Иди на хуй, ты не можешь так поступать!;-1;3
Срань господня!;-1;2
Ты обжуливаешь саму природу!;-1;2
Завали ебало!;-1;3
И КАК МНЕ, БЛЯТЬ, ДОСТУЧАТЬСЯ ДО ЭТИХ ДЕТЕЙ?!?!?!;-1;3
НА ХУЙ ТВОЁ МОРОЖЕНОЕ!;-1;3
Чёрт подери, это ж пиздец!!!;-1;3
Спидозные бургеры в раю.;-1;0
Спидозные бургеры хавай ночью.;-1;1
Иди ты нахуй, Джимми Баффет!;-1;3
Иди нахуй, мам!;-1;3
У МЕНЯ БЛЯТЬ СПИД!;-1;3
Это же пиздец как смешно, да Кайл!;-1;2
что это тут за смехуёчки на лице?!;-1;2
Ты уже достал меня нахер!;-1;2
Господи Иисусе, что за гандон!;-1;3
иногда ты ведешь себя как хер;-1;2
Этот сукин сын!;-1;3
Пасуй мне мяч, Крэйг, тупое животное!;-1;3
Я убью тебя, Картман!;-1;3
Ну, он вел себя как полный хер;-1;2
Я уничтожу всё, что у тебя есть.;-1;2
Кайл, да подожди же ты, мудила!;-1;3
Сдохнуть тоже НЕ смешно!;-1;2
Так что - ЗАКРОЙ ХЛЕБОРЕЗКУ НАХУЙ!;-1;3
Нахуй, Кайл!;-1;3
Слышь, мы тоже профи! Ебаный дебил!;-1;3
Боже, она такая тупая.;-1;3
Я в курсе, она реально тупица!;-1;2
Точняк! Она еще и жирная!;-1;2
у меня ща мозг к ебеням разорвет!;-1;2
Картман сказал, что Кенни реально пиздец!;-1;2
Он обхуяренный в усмерть, чувак!;-1;3
им хреново будет без Канады!;-1;2
Заебали стебаться! Хотим уважения!;-1;3
с нашими пальцами в жопе вы уже не будете так круты;-1;2
Сосите мои канрадские яйца!;-1;3
Мы бастуем, приятель, все, заебали!;-1;2
Да хорош мне уши говном заливать!;-1;2
Я думаю теперь я могу трахнуть тебя в жопу;-1;3
Если вы не можете поддержать своих товарищей канадцев, значит вы - крысы.;-1;2
Вы что, ничего не понимаете?!;0;0
Вы думаете, над ней можно постебаться?!;-1;0
Я же говорил, что мы их в конце концов возьмем за яйца!;-1;1
пока ты не притащишь мне солидную сумму, я не прекращу до тебя доебываться,;-1;2
На нем уёбищного вида паренек танцует и поет;-1;3
Простая хуета!;-1;3
Да пошел ты! У тебя с прошлого года ничего интересного.;-1;3
мой авторитет подорван твоими ебаными методами!;-1;3
Я этого не сделаю, понял, парень?!;-1;0
Наша кровь будет на твоих руках.;-1;1
Вот уж хрен!;-1;2
Завали ебало, смеющееся дитя!;-1;3
Ты хочешь нахуй сдохнуть?!;-1;3
Хочешь немного шоколадного свинца, сука?!;-1;3
Че?!;-1;0
В натуре?!;-1;1
И что мне, мать вашу, с ними делать?!;-1;2
Эй, мы из кожи вон вылезли, чтобы добыть эти теоретические бабки!;0;1
Да! Теперь меня все за пидора держат!;-1;2
Мы просто хотели попросить разрешения, когда вы все передохните, построить на вашей земле парк развлечений.;-1;2
То, что ты делаешь очень оскорбительно!;-1;1
а ты не боишься лохануться, сучка?;-1;3
Я надеру тебе зад.Я выбью из тебя всю дурь!;-1;2
Давай, сучка!;-1;3
О! Лады, сучка.;-1;3
Ты там нахуй умрёшь!;-1;3
Я не это сказал, тупая сучка.;-1;3
Я не извиняюсь, я собираюсь отпиздить тебя по самое не балуй!;-1;3
Лесбиянка!;-1;1
Отстань от меня!;-1;0
До тебя не доходит, жопа ты с ручкой!;-1;3
Я заставлю тебя насрать в штаны, снять их, а потом их сьесть!;-1;3
Ты такой отсос!;-1;3
Ты такое ничтожество!;-1;3
Ты мой брат, а она - твоя сучка.;-1;3
Я не хочу обижать сучку моего брата.;1;3
Вы такие сосунки!;-1;3
Убей его нахуй, Венди.;-1;3
Насрал на твой стол, браток;-1;2
Ты нахуй умрёшь завтра утром!;-1;3
Ты нереальная сволочь!;-1;3
Это - маленькая жирная опухоль которая должна быть уничтожена.;-1;3
Нет, это правда, мы всегда тебя ненавидели.;-1;2
В жопу китайцев!;-1;2
Ага, в жопу!;-1;2
Это тупизм.;0;1
Это не круто, Баттерс.;-1;0
Просто убирайтесь с глаз моих долой!;-1;1
Сукин сын, сколько ж уже можно?;-1;3
Это даже презервативом язык не поворачивается назвать, это паршивый сендвич.;-1;2
девчонки такие педики.;-1;2
Больше не будем убирать дерьмо за жирными богатыми котами.;-1;2
Пошел на хер!;-1;3
Ты слышал меня, ты чертов кусок дерьма.;-1;3
я могу сказать тебе то, что думаю, что ты - гребаный мудак.;-1;3
Мне больше не нужно это чертово рабочее место.;0;1
Вы проклятый кусок дерьма.;-1;3
Чертов идиот.;-1;3
Отвалите!;-1;0
Моя работа заключалась в том, чтобы притворяться, что я замужем за этим ниггером;-1;2
Это сукин сын лгал нам.;3;-1
